"mtabName","T0_mean","T0_sd","T2_mean","T2_sd","T4_mean","T4_sd","T6_mean","T6_sd","T8_mean","T8_sd","T10_mean","T10_sd","T12_mean","T12_sd","T14_mean","T14_sd","T16_mean","T16_sd","T18_mean","T18_sd","T20_mean","T20_sd","T22_mean","T22_sd","T24_mean","T24_sd","T26_mean","T26_sd","T28_mean","T28_sd","T30_mean","T30_sd","T32_mean","T32_sd","T34_mean","T34_sd","T36_mean","T36_sd","T38_mean","T38_sd","T40_mean","T40_sd","T42_mean","T42_sd","T44_mean","T44_sd","T46_mean","T46_sd"
"guanosine pos",0.0701330368931313,0.0646027907285883,0.0801207354736185,0.0172707830140263,0.106656833977128,0.0117543520942445,0.103042188268172,0.00274308600593233,0.140216221670483,0.0112952467899914,0.105323313011056,0.00544700110742852,0.0883128693894112,0.0126187366807452,0.0959276875287714,0.0180385246170764,0.0841431117233168,0.0585029204107684,0.112319605840718,0.0305659979489195,0.0850616354228767,0.0246470408054461,0.144934907908844,0.00253711228125482,0.0816627351103701,0.0218094465980413,0.10564989796788,0.008714168019307,0.106924235658671,0.0102366254705613,0.139253770289257,0.0660688974567599,0.18639933510889,0.164360932275636,0.176712956707978,0.0130171135575265,0.066358529588371,0.0212104313183508,0.0864830259599416,0.000791555785207536,0.0897951265291659,0.00180253025611362,0.0963726785633403,0.010418290566891,0.12894984540566,0.066022171448806,0.111598387780162,0.0406997823220265
"hexose-6-phosphate",0,0,0,0,0.242110567219249,0.24338318189226,0.390000137301856,0.367143685193099,0.73433692313784,0.182667940634939,0,0,0.741865078274044,0.191321642457871,0,0,0,0,0.282582136311956,0.154510552100839,0.166302145854669,0.168799064772036,0.30732685815896,0.0520036233502496,0.107112505046621,0.094565770710155,0.458424208283424,0.171590941236742,0.294662632260127,0.0622179773980832,0.200548678282911,0.0365715069722971,0.90331211180827,0.556664981004061,0.494831733458734,0.225876922737201,0.0712956330613226,0.071915638223805,0.234401488329109,0.00652518340105653,0.217946915435088,0.0534494674501575,0.124134830658856,0.00350967042989223,0.256811481821153,0.0798044751156579,0.121842821878208,0.10586529786764
"inosine 5-monophosphate pos",4.79979643207778,4.32529806408969,5.0326526296146,4.3856479276602,6.77564324643101,1.89000070807985,8.31720056184909,2.25528646702205,6.40573208078434,5.54757721022154,4.71761692588521,4.16651026513462,0,0,0,0,0,0,9.19601720679523,3.15308753912273,2.94800076648392,2.61439247047261,9.33587569680447,4.38840046743718,8.53468651529994,1.01528329516752,20.7481915942247,8.29082979702665,11.0036343096373,4.4212630616621,5.61677399575684,0.919327042045517,16.626570332456,14.3805569158953,7.32467441423772,4.33201480252119,2.7367541264807,0.795130936305946,4.05363232065151,2.43895906562122,6.42552774468422,1.97976476598558,4.9559619923358,1.90596856178088,4.11490134793944,1.6138556559875,8.60032767020445,2.73679150683001
"isoleucine",4.90669455572291,1.60420320156059,5.458915543016,1.0074506754374,4.85941741266444,0.956259015248551,8.42658563678223,1.27689808643372,7.68147375719607,2.46221418406221,5.40470801308626,0.37167231322757,4.19386168421188,0.731217160764893,3.21542661437721,1.36814902315096,2.94760275325344,1.26612863068112,5.30005092283672,0.586174373602255,2.85393135419298,1.10669987906289,4.39697824077019,0.833379802856781,5.13738367877351,1.33700779095924,8.03519037535057,1.25565654151219,5.30773212199313,1.70448247075181,5.67241434203837,0.458224468714066,8.37925574024527,2.4789967272197,6.78476868841851,1.92804211222312,2.36706197905887,1.01812043823815,3.01520412211969,0.220011386716493,3.88027091978893,1.13878608572765,2.95269709573384,0.483954718829988,2.56383884073166,1.28668475126037,4.41422061678444,1.45970910352811
"kynurenine",0,0,0,0,0,0,0,0,0.126118740196876,0.122787176082719,0,0,0,0,0,0,0.0683713955125276,0.0648434897451072,0.131020314754535,0.172918827550079,0,0,0.0799274880053538,0.0807061196453637,0,0,0.0860386480982965,0.0133050919470224,0,0,0.0724133105571403,0.0642849743348024,0.0933529830499716,0.0224194531278624,0.121170923916531,0.0552937091517259,0.0412793828162904,0.0360977421183814,0.0389022395843799,0.033800480709384,0.0543955195714352,0.010021010609642,0.0598133928830065,0.0147928812761408,0,0,0,0
"leucine",3.435476201423,0.800795919293345,4.03120331097552,0.87911767255808,4.73357277436539,0.346606509283593,5.64424238875445,0.508777272412684,6.7344370519938,1.47915045350501,5.66689984101281,0.848147942053591,4.67295910227672,0.325491313808137,4.21917727032281,1.65105660408777,4.5406410412051,1.86697282795272,7.19227525414473,1.06316863688302,5.13603956498243,2.11066079885592,4.88266613321226,0.713372498261524,2.62471776457379,0.468692990949926,6.97716043530018,0.699396846671058,4.32067377059013,0.608575239832308,4.34344733474686,0.587759299828874,5.79865533663235,3.44243490900383,6.50543751347513,2.24700277006355,2.65767112222768,0.872640903268906,3.58643325820889,0.506961187329826,4.3890956345918,1.8600107493066,4.22003124415816,0.501639817640588,4.59300306385894,2.87073544869062,4.04827632152973,0.545317915773678
"lumichrome",1.26493992279333,1.37496181095422,1.73957655588328,0.907734951115808,1.76972646830849,0.88533272375839,1.92496218108409,1.31290460327894,2.54094124766799,1.46851555422824,2.1452464813514,1.33300824828867,1.42040612434693,0.154919040064373,1.64727236809667,0.927722499645524,1.34624565653011,0.842069079032209,2.27496183514754,0.690811997373489,1.2505928133785,0.57736379787885,1.41907458720048,0.626122654790738,1.19840507758881,0.273907060248035,1.46297765504537,0.276859937199627,1.16116662020059,0.278654554363854,1.29921241904798,0.141914513231319,1.46140744609494,0.081503865649531,1.67113679801649,0.449311185294551,0.688851726698025,0.175525199888193,0.9050395440356,0.0843791880160789,0.733475110220013,0.242138594809385,0.841143259639049,0.113606356389215,0.658368416037649,0.242230849757917,0.627174729850457,0.160683396597298
"methionine",0,0,0,0,0,0,1.49553103927592,1.3526498090398,1.27545557042014,1.10786067016283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02660265527954,0.432538925260511,3.27241570033758,0.815710656494622,1.78471088695584,0.314976362441611,2.48229016658255,0.502261339255337,2.18013398698351,1.04628071864049,1.55988251923207,0.386733725502335,0.546700825078322,0.488004494014425,1.02241094238301,0.189292063190472,0.79394802350822,0.109234386708621,0.384895045065874,0.333964616109233,0,0,0.565946066969198,0.524703995864494
"n-acetylglucosamine204",0.40384293356855,0.209374212982919,0.793366297505261,0.322950593216415,0.619317639554709,0.233008974736467,1.24164909796524,0.311665813343182,0.980340145616039,0.168523199061545,0.471295187543538,0.408671545808491,0.405831726470148,0.228463923037086,0.293627675460342,0.131708706906299,0.234643656733028,0.0918449755199772,0.393100931089875,0.108234167481674,0,0,0.207526516315814,0.0359548128181166,0.444697885824051,0.129942328834837,0.992649087564237,0.200220532717744,0.70008754061828,0.162079002764376,0.667332188899102,0.0551017674398562,0.763729157677902,0.154011599995916,0.534159588310605,0.297978963300267,0.165513475820736,0.0561893442638415,0.187809196361527,0.0238226446124154,0.183866910836273,0.0969389712939349,0.130455928076379,0.114761454300753,0.0941763980002442,0.0499705369623721,0.0989876982833925,0.0122554882909783
"n-acetylglutamic acid",70.0222410254954,15.9097658656918,91.1820502528874,33.0360483276016,87.4190013085986,23.5731803642696,145.711924038319,40.3289374387289,182.542511017772,58.5696616653248,188.80859088572,28.6662914864619,123.452684217552,9.42680259582599,140.04634064524,58.873788160792,124.401342184804,15.6305525031984,236.565278176493,51.2224342613626,97.8116269682296,37.059679642581,105.217954225229,22.1588761079565,165.335653168021,97.1665242249461,185.385221835693,41.8744931166516,135.313521302339,54.1811612302654,113.263788943148,5.81414414990188,191.220051024526,39.1774359929727,274.952849946535,70.6899017673298,83.1002736804812,36.709503868691,127.769599251754,35.1106671661858,111.915582861643,19.7352438967749,134.207307609976,31.1472310395076,142.590950026015,79.9638014138546,172.326517313049,77.954672793625
"nicotinamide",4.7485069918224,4.963037581213,0,0,0,0,3.28828944055644,1.55721842128692,0,0,0,0,0,0,1.38326581658442,1.23739878207132,1.90217715035612,1.22515354931144,2.7316613538528,0.633798924453896,2.11612422657686,0.931999921858357,4.33894845959862,3.95838067520711,0,0,0,0,0.882365517406148,0.853984208383026,1.72636406544925,0.525625098229526,2.6479752919372,0.221720623564373,3.23700623316439,1.35856944208948,1.4532537260817,0.0986238408697819,1.48316242408135,0.126465088935123,1.87091995832867,0.39032933263738,1.55918375313543,0.528780682219829,1.63908047494946,0.629762152210905,2.36828464627192,0.455521744863281
"pantothenic acid neg",0,0,0,0,0,0,0.12497950845195,0.0212675955251429,0.15928732737172,0.0618759491027263,0.090372702755615,0.0790010804921876,0.0867351241057286,0.0752189889978602,0.121210625125288,0.0232050274038071,0.120548247465565,0.0244388192252743,0.258750636624073,0.0535957577313459,0.0855061304569707,0.0191349530716925,0.110608742111536,0.0816600323373335,0.104507956011952,0.0273403772501726,0.188273367215556,0.0285867760514213,0.144090889752307,0.0274822522949978,0.128066027277215,0.0124397599765466,0.18823703836095,0.034779549786355,0.181077992949019,0.0660660297008857,0.0680373862064255,0.0241763149814615,0.103495616089243,0.00674167848469172,0.121905747034359,0.0253426105562295,0.113432598189499,0.00931611366262714,0.053516511580664,0.0495802464271867,0.0703401572208552,0.0160281964693026
"phenylalanine",4.66805468796757,0.879146076895393,3.78421409616807,0.184919684655699,5.08986938201019,0.273659199255921,7.1670964834311,0.439891287002339,8.8502697561841,1.15031434507942,6.04839177885201,0.773855790587315,5.59957311137292,0.412641771728245,4.97995573181664,1.24459360470312,4.33817763086261,1.51255223326521,6.61580461981915,0.418553595187906,3.8842984271632,1.20526583697904,3.07765267708536,0.346171137581377,3.12736370796403,0.497033456495308,4.33466955664322,0.778924911769865,3.78915731962556,0.517645138870212,6.51593681402713,1.09250377779946,7.39079970232457,3.09522714296415,7.14347489894931,1.89893547121629,3.25860343512991,1.18759415643123,4.16857402761711,0.745016043772497,4.57933920998326,1.22963930894693,3.85998573119847,0.176461410779959,3.7195141247269,1.70812562200424,2.45823802133706,0.63103550105793
"proline",18.8429165056591,18.9851751066298,34.8620473715061,16.9492506120152,27.5967716439791,3.47906518358437,37.1662398498845,5.7766940431999,43.2172587786977,8.25680988027493,27.5416731075599,2.53229396220873,29.3790547921145,1.74960776877113,25.6957408492211,11.2477199330203,32.0443271755336,8.3223790904641,45.1983024022645,2.75635724571678,27.7406139177312,5.47830983775483,32.8919851939059,11.9901839139572,38.4107874317699,8.92843671714123,59.1512629256205,10.0703868675417,34.2777542498125,7.79663291659529,35.5504653319048,8.14253026042914,40.5247686839727,5.65140149184577,40.8974335092728,9.73932159694098,15.1992668828267,8.62833787222998,23.9285216131991,2.68376001383794,21.9630605689842,4.40778121076224,22.7093403496705,3.79709287356746,24.067531318782,13.066335741478,24.5263432708051,4.77116829747953
"s-(5'-adenosyl)-L-homocysteine pos",0.338574682765821,0.29343888534774,0.750402200633255,0.250038439818453,0.728147698547726,0.166900942978074,0.659317722361376,0.1377667963933,0.780137499267539,0.030700226596707,0.689373880520884,0.157323241566883,0.553680354029913,0.032394397442059,0.484378903540589,0.0383971862409751,0.548938072976563,0.2028923349778,0.669335069851455,0.0306395834739094,0.474259737291462,0.209398245125849,0.483619960799325,0.0588196024586951,0.668098178878836,0.372767300567782,1.00551888393991,0.145231958397417,0.885568143194519,0.168960160712226,0.804554389403559,0.140590645068679,0.858629857569245,0.288053312061174,1.15647612638799,0.276199887290993,0.330009200163309,0.173452179168267,0.512904939828817,0.168289352782799,0.433568717352191,0.0611430333283507,0.403490083538217,0.0665864039551183,0.360783744462871,0.207326098628847,0.499673901816498,0.174553110200573
